promoter_set,k,n,train_perplexity,dev_perplexity
Ecoli_Random,1,1,3.999418811798997,3.9996180567285804
Ecoli_Random,1,2,3.999098234751744,3.9998152753650786
Ecoli_Random,1,3,3.9987802141586566,3.999748538698426
Ecoli_Random,1,4,3.9988262189165145,4.000811272374961
Ecoli_Random,1,5,4.007736649334414,4.0120063169818065
Ecoli_Random,1,6,4.169154747959742,4.183439040592671
Ecoli_Random,1,7,6.79889587194394,6.907810110089752
Ecoli_Random,1,8,47.98023139306778,51.630703247672216
Ecoli_Random,2,1,15.994068710298363,15.997733398929082
Ecoli_Random,2,2,15.987569679981899,15.999326602437423
Ecoli_Random,2,3,16.131345013124275,16.202717849273483
Ecoli_Random,3,1,63.956161985234246,63.98619748569013
Ecoli_Random,3,2,63.96419605869312,64.2786327187436
Ecoli_Random,3,3,683.3241156393996,1044.5874533259037
Ecoli_Random,4,1,255.70640633451748,255.95453502436402
Ecoli_Random,4,2,290.55715584659254,312.88048527081685
Ecoli_Random,4,3,159892.6502423265,13080820.745385895
Ecoli_Random,5,1,1021.9865575342251,1024.0780758246744
Ecoli_Random,5,2,6712.0438158002735,62267.88402008732
Ecoli_Random,5,3,10624619.835970487,1068987614.3082176
Ecoli_Random,6,1,4079.750327517088,4101.822022632748
Ecoli_Random,6,2,160095.0748400486,13097362.579611283
Ecoli_Random,6,3,680381553.101943,68711072255.37847
Ecoli_Naive,1,1,3.9925321522039536,3.9922456475231405
Ecoli_Naive,1,2,3.946587081806915,3.9460390575432234
Ecoli_Naive,1,3,3.911115872092189,3.9113514981991555
Ecoli_Naive,1,4,3.8812523047332848,3.881016436146484
Ecoli_Naive,1,5,3.874599627749166,3.8789748472056225
Ecoli_Naive,1,6,4.003036031057604,4.01819017365744
Ecoli_Naive,1,7,6.181638621253642,6.280359553531641
Ecoli_Naive,1,8,37.012269665396175,39.90352438842629
Ecoli_Naive,2,1,15.756875815586904,15.753557252433335
Ecoli_Naive,2,2,15.177413598205543,15.177942937511117
Ecoli_Naive,2,3,15.015496183195756,15.088976181193592
Ecoli_Naive,3,1,61.624967107227256,61.61806816493915
Ecoli_Naive,3,2,57.82327023586427,58.10407215654087
Ecoli_Naive,3,3,501.90306347978753,758.957298181858
Ecoli_Naive,4,1,239.1329801119918,239.09995262871112
Ecoli_Naive,4,2,246.05884042252268,265.7079015752782
Ecoli_Naive,4,3,147702.6940296127,8293990.9259605585
Ecoli_Naive,5,1,924.1225527784502,925.0275661456923
Ecoli_Naive,5,2,5118.843006548133,26926.906167330708
Ecoli_Naive,5,3,10305908.83796256,891825559.5172985
Ecoli_Naive,6,1,3553.949020913232,3570.6621343831507
Ecoli_Naive,6,2,147961.57161481836,8308536.738915503
Ecoli_Naive,6,3,662736056.0285903,58657342728.67959
Ecoli_Operon,1,1,3.976849733370785,3.975691394487192
Ecoli_Operon,1,2,3.9352145158911873,3.937228892533336
Ecoli_Operon,1,3,3.9071853189918984,3.9080952802896682
Ecoli_Operon,1,4,3.880475557682884,3.8838747684485098
Ecoli_Operon,1,5,3.881193246466371,3.887985283017554
Ecoli_Operon,1,6,4.088144271769366,4.109030286711289
Ecoli_Operon,1,7,7.3802437208706175,7.562378879423878
Ecoli_Operon,1,8,53.42903623423784,60.265262745207
Ecoli_Operon,2,1,15.64975679827894,15.653207026171213
Ecoli_Operon,2,2,15.15781112122659,15.173907747486096
Ecoli_Operon,2,3,15.108809590069804,15.207939050559947
Ecoli_Operon,3,1,61.142864023501865,61.17016002636989
Ecoli_Operon,3,2,57.932427240554,58.35174831894286
Ecoli_Operon,3,3,685.1128656177364,1375.1586750932504
Ecoli_Operon,4,1,237.19088992957649,237.4744495860119
Ecoli_Operon,4,2,260.69972494814385,294.3459037673273
Ecoli_Operon,4,3,152561.72593198527,10700167.578687944
Ecoli_Operon,5,1,916.9061717535511,919.4249769471564
Ecoli_Operon,5,2,6116.805182432937,56811.15561393517
